Cód. Institución,Nombre Institución,Año Creación,Tradicional,NombreRector,Direccion,Comuna Casa Central,Region Casa Central,Dirección Web,Años,Acred. Inst. 30 octubre 2020,Gestión Institucional,Docencia de Pregrado,Investigación,Vinculación con el Medio,Docencia de Postgrado,Vigencia Desde,Vigencia Hasta,Proceso
3024,C.F.T. EDUCAP,1990,Centros de Formación Técnica,Carlos Eaton Silva,Avenida Carlos Condell 260,Quillota,Región de Valparaíso,www.cfteducap.cl,,NO ACREDITADA,,,,,,,,Autonoma
3025,C.F.T. INSTITUTO TECNOLÓGICO DE CHILE,1990,Centros de Formación Técnica,Carlos Covarrubias Arancibia,Serrano  172, metro Universidad de Chile,Santiago,Región Metropolitana,www.itc.cl,,NO ACREDITADA,,,,,,,,Autonoma
3026,C.F.T. CÁMARA DE COMERCIO DE SANTIAGO,1995,Centros de Formación Técnica,JUAN FERNANDO PACHECO ORTEGA,Avda. Ejército Libertador 306,Santiago,Región Metropolitana,www.escueladecomercio.cl,3,ACREDITADA,Si,Si,No,No,No,02/03/2018,02/03/2021,Autonoma
3027,C.F.T. DE EST. SUP.Y CAPACITACIÓN PROFESIONAL LAPLACE,1995,Centros de Formación Técnica,ANDRES ALBERTO ROMERO MARCHANT,Av. Inmaculada Concepción Nº 0264, Colina, Santiago,Colina,Región Metropolitana,www.cftlaplace.cl,,NO ACREDITADA,,,,,,,,Autonoma
3030,C.F.T. CEDUC - UCN,1999,Centros de Formación Técnica,Carlos Alejandro Sainz López,Miraflores N 475 - Sector Porvenir,Coquimbo,Región de Coquimbo,www.ceduc.cl,5,ACREDITADA,Si,Si,No,No,No,11/12/2015,11/12/2020,Autonoma
3035,C.F.T. CEITEC,2002,Centros de Formación Técnica,Rosa Godoy González,Gorbea N°1777,Santiago,Región Metropolitana,www.ceitec.cl,,NO ACREDITADA,,,,,,,,Autonoma
3036,C.F.T. ESC. DE ARTES APLICADAS OFICIOS DEL FUEGO,2002,Centros de Formación Técnica,Tamara Unda Escalona,Padre Diego de Rosales N°1635,Santiago,Región Metropolitana,www.enaa.cl,,NO ACREDITADA,,,,,,,,Autonoma
3041,C.F.T. PUCV,2004,Centros de Formación Técnica,Benito Barros Muñoz,General Cruz N  7,Valparaíso,Región de Valparaíso,www.cftpucv.cl,4,ACREDITADA,Si,Si,No,No,No,30/11/2017,30/11/2021,Autonoma
3042,C.F.T. ALPES,1983,Centros de Formación Técnica,Patricia Urzúa Davis,Avenida República 430,Santiago,Región Metropolitana,www.alpescft.cl,,NO ACREDITADA,,,,,,,,Autonoma
3043,C.F.T. BARROS ARANA,2003,Centros de Formación Técnica,Luis Pérez Candia,Barros Arana N  221,Concepción,Región del Bío-Bío,www.barrosarana.cl,,NO ACREDITADA,,,,,,,,Autonoma
3044,C.F.T. CENCO,1985,Centros de Formación Técnica,Luis Horacio Rojas Mansilla,Mac Iver 125, Piso 10,Santiago,Región Metropolitana,www.cftcenco.cl,,NO ACREDITADA,,,,,,,,Autonoma
3045,C.F.T. CENTRO DE ENS. ALTA COSTURA PAULINA DIARD,1982,Centros de Formación Técnica,Boris Pavelic Kirigin,Santo Domingo 1083, Piso 2,Santiago,Región Metropolitana,www.paulinadiard.cl,,NO ACREDITADA,,,,,,,,Supervisión
3049,C.F.T. DE LA INDUSTRIA GRÁFICA O C.F.T.  INGRAF,2003,Centros de Formación Técnica,Manuel Betancourt,Canada 253 C,Providencia,Región Metropolitana,www.cftingraf.cl,,NO ACREDITADA,,,,,,,,Autonoma
3050,C.F.T. DEL MEDIO AMBIENTE,1996,Centros de Formación Técnica,Rodrigo Cerda Candia,Compañía de Jesús 1447,Santiago,Región Metropolitana,www.idma.cl,3,ACREDITADA,Si,Si,No,No,No,23/07/2020,23/07/2023,Autonoma
3057,C.F.T. ICEL,1989,Centros de Formación Técnica,Vivien Petrinovich Rodríguez,Avenida Libertador Bernardo O'Higgins 2520,Santiago,Región Metropolitana,www.icel.cl,,NO ACREDITADA,,,,,,,,Autonoma
3058,C.F.T.  ICCE,1982,Centros de Formación Técnica,KATHERINE VALESKA RUZ TORRES,Ejercito Libertador 34 Santiago piso 2 y 3,Santiago,Región Metropolitana,www.icce.cl,,NO ACREDITADA,,,,,,,,Autonoma
3065,C.F.T. LOTA-ARAUCO,1998,Centros de Formación Técnica,Cristian Perez Vergara,Carlos Cousiño 184 Lota Alto,Lota,Región del Bío-Bío,www.cftlotarauco.cl,4,ACREDITADA,Si,Si,No,No,No,21/07/2019,21/07/2023,Autonoma
3067,C.F.T. SAN AGUSTÍN DE TALCA,1988,Centros de Formación Técnica,Sergio Patricio Morales Díaz,1 Norte 550 Edificio Cultural San Francisco Piso 3,Talca,Región del Maule,www.cftsanagustin.cl,5,ACREDITADA,Si,Si,No,No,No,11/12/2018,11/12/2023,Autonoma
3068,C.F.T. PROANDES,1989,Centros de Formación Técnica,Giovani Pinedo Arellano,Ejercito Libertador 133,Santiago,Región Metropolitana,www.esucomex.cl,,NO ACREDITADA,,,,,,,,Autonoma
3069,C.F.T. U. VALPO.,2003,Centros de Formación Técnica,Luis Enrique Villarroel Ganga,Cancha 70, Viña del Mar.,Viña del Mar,Región de Valparaíso,www.cft.uv.cl,,NO ACREDITADA,,,,,,,,Proceso Cierre
3073,C.F.T. ESANE DEL NORTE,1985,Centros de Formación Técnica,María Eugenia Lorca Rojas, Vicerrectora Académica,Manuel Antonio Matta 2052,Antofagasta,Región de Antofagasta,www.esanedelnorte.cl,,NO ACREDITADA,,,,,,,,Proceso Cierre
3078,C.F.T. LOS LAGOS,1983,Centros de Formación Técnica,Fernando Devaud Ojeda,Patricio Lynch 1346,Osorno,Región de Los Lagos,http://www.iploslagos.cl/,,NO ACREDITADA,,,,,,,,Autonoma
3082,C.F.T. LUIS ALBERTO VERA,1983,Centros de Formación Técnica,Juan Polo Osses,Los Ángeles Nº 251,Illapel,Región de Coquimbo,www.cftlavera.cl,,NO ACREDITADA,,,,,,,,Proceso Cierre
3087,C.F.T. PROTEC,2003,Centros de Formación Técnica,Marcelo Dillems Burlando,Pedro de Valdivia s/n, km.7 camino Temuco a Chol Chol, Temuco,Temuco,Región de La Araucanía,www.tecnologicoprotec.cl,,NO ACREDITADA,,,,,,,,Autonoma
3090,C.F.T. JUAN BOHON,1982,Centros de Formación Técnica,Gloria Margot Iturra Mardones,Avenida Balmaceda 2299,La Serena,Región de Coquimbo,www.juanbohon.cl,3,ACREDITADA,Si,Si,No,No,No,24/06/2015,24/06/2020,Autonoma
3091,C.F.T. DE TARAPACÁ,2003,Centros de Formación Técnica,FROILÁN ORTIZ ARAYA,Las Acacias N 2090,Arica,Región de Arica y Parinacota,www.cftuta.cl,3,ACREDITADA,Si,Si,No,No,No,05/12/2017,05/12/2020,Autonoma
3099,C.F.T. TEODORO WICKEL,2005,Centros de Formación Técnica,Jaime González Flores,Arturo Prat 321,Temuco,Región de La Araucanía,www.twk.cl,3,ACREDITADA,Si,Si,No,No,No,13/08/2017,13/08/2020,Autonoma
3100,C.F.T. ALFA,1985,Centros de Formación Técnica,RIGOBERTO AGUSTIN ESPINOZA ARIAS,BLANCO, 456,Constitución,Región del Maule,www.cftalfa.cl,,NO ACREDITADA,,,,,,,,Proceso Cierre
3109,C.F.T. INSTITUTO SUPERIOR ALEMÁN DE COMERCIO INSALCO,1982,Centros de Formación Técnica,Thomas Mittelstrass,Nuestra Señora del Rosario N° 1120,Vitacura,Región Metropolitana,www.insalco.cl,,NO ACREDITADA,,,,,,,,Licenciamiento
3110,C.F.T. MASSACHUSETTS,1983,Centros de Formación Técnica,Marisol Contardo Valdés,3 Sur  N. 1068,Talca,Región del Maule,www.cftmass.cl,,NO ACREDITADA,,,,,,,,Licenciamiento
3111,C.F.T. PRODATA,1985,Centros de Formación Técnica,Carlos Iván Aedo Morales,Manuel Baquedano 890,Osorno,Región de Los Lagos,www.cftprodata.cl,,NO ACREDITADA,,,,,,,,Autonoma
3112,C.F.T. PROFASOC,2006,Centros de Formación Técnica,Rossana Casciola Zedan,Pedro Lagos N 313,Río Bueno,Región de los Ríos,www.profasoc.cl,,NO ACREDITADA,,,,,,,,Autonoma
3118,C.F.T. MANPOWER,2007,Centros de Formación Técnica,Renato Bartet Zambrano,Estados Unidos 291,Santiago,Región Metropolitana,www.cftmanpower.cl,3,ACREDITADA,Si,Si,No,No,No,16/05/2018,16/05/2021,Autonoma
3121,C.F.T. ESCUELA CULINARIA FRANCESA,2009,Centros de Formación Técnica,Carmen Versluys Castro,Américo Vespucio Sur 930,Las Condes,Región Metropolitana,www.escuelaculinaria.cl,,NO ACREDITADA,,,,,,,,Autonoma
3123,C.F.T. ESTATAL DEL MAULE,2018,Centros de Formación Técnica,María Elena Villagrán Paredes,Calle Santa Lucinda S/N,Linares,Región del Maule,www.cftmaule.cl,,NO ACREDITADA,,,,,,,,Autonoma
3124,C.F.T. ESTATAL DE LA ARAUCANÍA,2017,Centros de Formación Técnica,Luis Alfredo Santibañez Torrejón,Manuel Matta 1055,Lautaro,Región de La Araucanía,www.cftaraucania.cl,,NO ACREDITADA,,,,,,,,Autonoma
3125,C.F.T. ESTATAL DE LOS LAGOS,2018,Centros de Formación Técnica,Carlos José Silva Ponce,Vicente Pérez Rosales 529,Llanquihue,Región de Los Lagos,www.aprendizajeeslibertad.cl,,NO ACREDITADA,,,,,,,,Autonoma
3126,C.F.T. ESTATAL DE COQUIMBO,2017,Centros de Formación Técnica,Manuel Farías,Vicuña Mackenna 448 – Of.211,Ovalle,Región de Coquimbo,www.cftregioncoquimbo.cl,,NO ACREDITADA,,,,,,,,Autonoma
3127,C.F.T. ESTATAL DE TARAPACÁ,2018,Centros de Formación Técnica,Jorge Villegas Ahumada,Juanita Fernández 3199, Alto Hospicio,Alto Hospicio,Región de Tarapacá,http://www.cftestataltarapaca.cl,,NO ACREDITADA,,,,,,,,Autonoma
3128,C.F.T. ESTATAL DE LOS RÍOS,2018,Centros de Formación Técnica,Ramón Rubio Donoso,Calle Comercio 238 La Unión , Chile,La Unión,Región de los Ríos,http://cftdelosrios.cl/,,NO ACREDITADA,,,,,,,,Autonoma
3129,C.F.T. ESTATAL DE VALPARAÍSO,2019,Centros de Formación Técnica,Rodrigo Jarufe Fuentes,Cancha 70,Viña del Mar,Región de Valparaíso,http://tecnologicovalparaiso.cl/,,NO ACREDITADA,,,,,,,,Autonoma
3130,C.F.T. ESTATAL  METROPOLITANO,2019,Centros de Formación Técnica,Gonzalo Valdés Lezana,Avenida Grecia 6083,Peñalolén,Región Metropolitana,,,NO ACREDITADA,,,,,,,,Autonoma
3131,C.F.T. ESTATAL DE MAGALLANES,2019,Centros de Formación Técnica,Christian Quezada Ruiz,Francisco Sampaio 580,Porvenir,Región de Magallanes,www.cftdemagallanes.cl,,NO ACREDITADA,,,,,,,,Autonoma
3133,C.F.T. ESTATAL DE ANTOFAGASTA,2019,Centros de Formación Técnica,Daniel Solís Igor,Bañados Espinoza 1854,Calama,Región de Antofagasta,www.cftestatalantofagasta.cl,,NO ACREDITADA,,,,,,,,Autonoma
